scenario_name,lambda_execution,objective_name,method_name,method_family,strategy,metric_value,objective_rank
baseline,0.05,planning_volatility,Accuracy Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_accuracy,303.581,7
baseline,0.05,planning_volatility,Constrained Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_constrained,303.581,7
baseline,0.05,planning_volatility,Scenario Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_scenario_alpha,315.632,9
baseline,0.05,planning_volatility,Smoothed Alpha 0.75,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_75,315.632,9
baseline,0.05,planning_volatility,Feasibility-Aware,Baseline,feasibility_aware_selector,364.328,11
baseline,0.05,planning_volatility,Stability-Aware,Baseline,stability_aware_selector,384.274,12
baseline,0.05,planning_volatility,Family Best,Baseline,family_best_model,411.535,13
baseline,0.05,planning_volatility,Best Inventory,Baseline,best_inventory_cost_model,414.964,14
baseline,0.05,planning_volatility,Global Best,Baseline,global_best_model,414.964,14
baseline,0.05,planning_volatility,Oracle,Oracle,oracle_realized_demand,487.867,16
dataco_high,0.341,WAPE,Oracle,Oracle,oracle_realized_demand,0.0,1
dataco_high,0.341,WAPE,Smoothed Alpha 0.50,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_50,0.108,2
dataco_high,0.341,WAPE,Utility Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_utility_alpha,0.109,3
dataco_high,0.341,WAPE,Best Inventory,Baseline,best_inventory_cost_model,0.109,4
dataco_high,0.341,WAPE,Global Best,Baseline,global_best_model,0.109,4
dataco_high,0.341,WAPE,Smoothed Alpha 0.75,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_75,0.109,6
dataco_high,0.341,WAPE,Scenario Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_scenario_alpha,0.109,7
dataco_high,0.341,WAPE,Smoothed Alpha 0.25,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_25,0.109,7
dataco_high,0.341,WAPE,Family Best,Baseline,family_best_model,0.11,9
dataco_high,0.341,WAPE,Stability-Aware,Baseline,stability_aware_selector,0.113,10
dataco_high,0.341,WAPE,Feasibility-Aware,Baseline,feasibility_aware_selector,0.116,11
dataco_high,0.341,WAPE,Accuracy Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_accuracy,0.117,12
dataco_high,0.341,WAPE,Constrained Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_constrained,0.119,13
dataco_high,0.341,WAPE,Operational Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_operational_loss,0.12,14
dataco_high,0.341,WAPE,Simple Ensemble,ReferenceEnsemble,simple_ensemble,0.129,15
dataco_high,0.341,WAPE,Best Stability,Baseline,best_stability_model,0.188,16
dataco_high,0.341,execution_penalty,Best Stability,Baseline,best_stability_model,0.0,1
dataco_high,0.341,execution_penalty,Utility Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_utility_alpha,0.0,1
dataco_high,0.341,execution_penalty,Scenario Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_scenario_alpha,102.215,3
dataco_high,0.341,execution_penalty,Smoothed Alpha 0.25,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_25,102.215,3
dataco_high,0.341,execution_penalty,Smoothed Alpha 0.50,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_50,22311.979,5
dataco_high,0.341,execution_penalty,Simple Ensemble,ReferenceEnsemble,simple_ensemble,47421.135,6
dataco_high,0.341,execution_penalty,Operational Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_operational_loss,103259.642,7
dataco_high,0.341,execution_penalty,Constrained Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_constrained,114912.077,8
dataco_high,0.341,execution_penalty,Accuracy Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_accuracy,154524.33,9
dataco_high,0.341,execution_penalty,Smoothed Alpha 0.75,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_75,162839.995,10
dataco_high,0.341,execution_penalty,Feasibility-Aware,Baseline,feasibility_aware_selector,365116.914,11
dataco_high,0.341,execution_penalty,Stability-Aware,Baseline,stability_aware_selector,402775.817,12
dataco_high,0.341,execution_penalty,Family Best,Baseline,family_best_model,537406.724,13
dataco_high,0.341,execution_penalty,Best Inventory,Baseline,best_inventory_cost_model,546133.345,14
dataco_high,0.341,execution_penalty,Global Best,Baseline,global_best_model,546133.345,14
dataco_high,0.341,execution_penalty,Oracle,Oracle,oracle_realized_demand,680523.022,16
dataco_high,0.341,execution_violation_rate,Best Stability,Baseline,best_stability_model,0.0,1
dataco_high,0.341,execution_violation_rate,Utility Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_utility_alpha,0.0,1
dataco_high,0.341,execution_violation_rate,Scenario Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_scenario_alpha,0.001,3
dataco_high,0.341,execution_violation_rate,Smoothed Alpha 0.25,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_25,0.001,3
dataco_high,0.341,execution_violation_rate,Smoothed Alpha 0.50,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_50,0.041,5
dataco_high,0.341,execution_violation_rate,Simple Ensemble,ReferenceEnsemble,simple_ensemble,0.066,6
dataco_high,0.341,execution_violation_rate,Operational Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_operational_loss,0.122,7
dataco_high,0.341,execution_violation_rate,Constrained Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_constrained,0.131,8
dataco_high,0.341,execution_violation_rate,Accuracy Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_accuracy,0.16,9
dataco_high,0.341,execution_violation_rate,Smoothed Alpha 0.75,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_75,0.16,10
dataco_high,0.341,execution_violation_rate,Feasibility-Aware,Baseline,feasibility_aware_selector,0.232,11
dataco_high,0.341,execution_violation_rate,Stability-Aware,Baseline,stability_aware_selector,0.258,12
dataco_high,0.341,execution_violation_rate,Family Best,Baseline,family_best_model,0.279,13
dataco_high,0.341,execution_violation_rate,Best Inventory,Baseline,best_inventory_cost_model,0.284,14
dataco_high,0.341,execution_violation_rate,Global Best,Baseline,global_best_model,0.284,14
dataco_high,0.341,execution_violation_rate,Oracle,Oracle,oracle_realized_demand,0.345,16
dataco_high,0.341,gap_to_oracle,Simple Ensemble,ReferenceEnsemble,simple_ensemble,-0.095,1
dataco_high,0.341,gap_to_oracle,Operational Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_operational_loss,-0.081,2
dataco_high,0.341,gap_to_oracle,Constrained Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_constrained,-0.073,3
dataco_high,0.341,gap_to_oracle,Accuracy Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_accuracy,-0.044,4
dataco_high,0.341,gap_to_oracle,Oracle,Oracle,oracle_realized_demand,0.0,5
dataco_high,0.341,gap_to_oracle,Scenario Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_scenario_alpha,0.101,6
dataco_high,0.341,gap_to_oracle,Smoothed Alpha 0.25,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_25,0.101,6
dataco_high,0.341,gap_to_oracle,Best Stability,Baseline,best_stability_model,0.211,8
dataco_high,0.341,gap_to_oracle,Utility Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_utility_alpha,0.281,9
dataco_high,0.341,gap_to_oracle,Best Inventory,Baseline,best_inventory_cost_model,0.286,10
dataco_high,0.341,gap_to_oracle,Global Best,Baseline,global_best_model,0.286,10
dataco_high,0.341,gap_to_oracle,Family Best,Baseline,family_best_model,0.294,12
dataco_high,0.341,gap_to_oracle,Smoothed Alpha 0.50,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_50,0.356,13
dataco_high,0.341,gap_to_oracle,Stability-Aware,Baseline,stability_aware_selector,0.807,14
dataco_high,0.341,gap_to_oracle,Smoothed Alpha 0.75,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_75,1.162,15
dataco_high,0.341,gap_to_oracle,Feasibility-Aware,Baseline,feasibility_aware_selector,2.316,16
dataco_high,0.341,inventory_cost,Oracle,Oracle,oracle_realized_demand,1633182.571,1
dataco_high,0.341,inventory_cost,Best Inventory,Baseline,best_inventory_cost_model,3010924.926,2
dataco_high,0.341,inventory_cost,Global Best,Baseline,global_best_model,3010924.926,2
dataco_high,0.341,inventory_cost,Family Best,Baseline,family_best_model,3064462.341,4
dataco_high,0.341,inventory_cost,Accuracy Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_accuracy,3157861.074,5
dataco_high,0.341,inventory_cost,Smoothed Alpha 0.75,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_75,3171084.953,6
dataco_high,0.341,inventory_cost,Constrained Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_constrained,3204681.415,7
dataco_high,0.341,inventory_cost,Operational Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_operational_loss,3222711.072,8
dataco_high,0.341,inventory_cost,Stability-Aware,Baseline,stability_aware_selector,3251369.903,9
dataco_high,0.341,inventory_cost,Feasibility-Aware,Baseline,feasibility_aware_selector,3375551.068,10
dataco_high,0.341,inventory_cost,Simple Ensemble,ReferenceEnsemble,simple_ensemble,3412038.615,11
dataco_high,0.341,inventory_cost,Smoothed Alpha 0.50,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_50,3603641.853,12
dataco_high,0.341,inventory_cost,Scenario Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_scenario_alpha,4515961.102,13
dataco_high,0.341,inventory_cost,Smoothed Alpha 0.25,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_25,4515961.102,13
dataco_high,0.341,inventory_cost,Best Stability,Baseline,best_stability_model,5263648.54,15
dataco_high,0.341,inventory_cost,Utility Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_utility_alpha,5373682.296,16
dataco_high,0.341,max_period_plan_change_pct,Utility Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_utility_alpha,0.095,1
